S (1)
  - P (1)
    - O (true)
      - C (-16.50000002, 7.40000001, 4.27220004)
  - T (0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1)
E (1, 1, New, One, 25, 0)
S (2)
  - P (2)
    - O (true)
      - L (-23.26000117, -15.60000227, -24.32000333, -14.80000641)
      - L (-26.48000422, -12.12000757, -28.24000539, -9.96000873)
      - L (-29.28000656, -10.04000983, -31.22001077, -6.64001197)
      - L (-32.56001296, -11.44001409, -34.72001521, -13.92001635)
      - L (-36.16001742, -19.36001858, -37.84001963, -18.52002075)
      - L (-40.88002188, -20.08002399, -43.68002506, -20.30002619)
      - L (-45.94002738, -25.42002855, -47.62002964, -24.34003081)
      - L (-49.76003192, -25.14003305, -52.46003423, -23.54003531)
      - L (-53.74003646, -24.10003762, -56.38003874, -22.66003993)
      - L (-59.98004001, -20.82004216, -61.18004329, -19.70004444)
      - L (-65.78004551, -20.90004668, -67.58004778, -20.13004895)
      - L (-71.68004994, -19.25005117, -72.23005208, -18.69005337)
      - L (-76.77005431, -16.55005554, -77.31005648, -15.91005779)
      - L (-80.17005869, -17.11005998, -82.09006087, -16.49006214)
      - L (-85.29006192, -16.35006407, -86.83006321, -15.89006535)
      - L (-91.19006635, -16.39006747, -93.27006866, -15.53006970)
      - L (-97.21007084, -16.79007200, -98.93007311, -16.05007428)
      - L (-103.63007525, -17.51007650, -105.47007746, -17.15007874)
      - L (-109.59007959, -18.41008189, -111.61008284, -18.12008312)
      - L (-115.85008505, -19.37008723, -117.95008822, -19.14008948)
      - L (-122.43009135, -19.45009260, -124.75009359, -19.33009490)
      - L (-129.86009571, -18.81009794, -131.99009896, -18.57009920)
      - L (-137.29010199, -18.71010409, -139.65010819, -18.73010638)
      - L (-145.67011321, -19.14011441, -147.87011633, -19.28011862)
      - L (-154.21012555, -19.82012768, -156.51012881, -20.12012995)
      - L (-163.44013694, -21.13013809, -165.97014104, -21.42014225)
      - L (-173.22014424, -21.51014646, -175.29014938, -21.80014868)
      - L (-183.24015385, -21.84015501, -185.53015706, -22.13015826)
      - L (-193.49015937, -21.82016131, -195.83016246, -21.52016454)
      - L (-203.83016662, -21.
