S (1)
  - P (1)
    - O (true)
      - L (-0.74, 1.74500001, 0, 1.74500001)
      - L (0, 1.74500001, 0, 0)
      - L (0, 0, -0.74, 0)
      - L (-0.74, 0, -0.74, 1.74500001)
  - T (0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 1, 0)
E (1, 1, New, Two, 1, 1)
S (2)
  - P (2)
    - O (true)
      - L (0.7, 1.72599999, 0.75, 1.73500002)
      - L (0.75, 1.73500002, 0.65, 1.71500004)
      - L (0.65, 1.71500004, 0.6, 1.70500006)
      - L (0.6, 1.70500006, 0.55, 1.68500008)
      - L (0.55, 1.68500008, 0.45, 1.66500010)
      - L (0.45, 1.66500010, 0.35, 1.64500012)
      - L (0.35, 1.64500012, 0.25, 1.62500014)
      - L (0.25, 1.62500014, 0.15, 1.60500016)
      - L (0.15, 1.60500016, 0.05, 1.58500018)
      - L (0.05, 1.58500018, -0.05, 1.56500020)
      - L (-0.05, 1.56500020, -0.15, 1.54500022)
      - L (-0.15, 1.54500022, -0.25, 1.52500024)
      - L (-0.25, 1.52500024, -0.35, 1.50500026)
      - L (-0.35, 1.50500026, -0.45, 1.48500028)
      - L (-0.45, 1.48500028, -0.55, 1.46500030)
      - L (-0.55, 1.46500030, -0.65, 1.44500032)
      - L (-0.65, 1.44500032, -0.75, 1.42500034)
      - L (-0.75, 1.42500034, -0.85, 1.40500036)
      - L (-0.85, 1.40500036, -0.95, 1.38500038)
      - L (-0.95, 1.38500038, -1.05, 1.36500040)
      - L (-1.05, 1.36500040, -1.15, 1.34500042)
      - L (-1.15, 1.34500042, -1.25, 1.32500044)
      - L (-1.25, 1.32500044, -1.35, 1.30500046)
      - L (-1.35, 1.30500046, -1.45, 1.28500048)
      - L (-1.45, 1.28500048, -1.55, 1.26500050)
      - L (-1.55, 1.26500050, -1.65, 1.24500052)
      - L (-1.65, 1.24500052, -1.75, 1.22500054)
      - L (-1.75, 1.22500054, -1.85, 1.20500056)
      - L (-1.85, 1.20500056, -1.95, 1.18500058)
      - L (-1.95, 1.18500058, -2.05, 1.16500060)
      - L (-2.05, 1.16500060, -2.15, 1.14500062)
      - L (-2.15, 1.14500062, -2.25, 1.12500064)
      - L (-2.25, 1.12500064, -2.35, 1.10500066)
      - L (-2.35, 1.10500066, -2.45, 1.08500068)
      - L (-2.45, 1.08500068, -2.55, 1.06500070)
      - L (-2.55, 1.06500070, -2.65, 1.04500072)
      - L (-2.65, 1.04500072, -2.75, 1.02500074)
      - L (-2.75, 1.02500074, -2.85, 1.00500076)
      - L (-2.85, 1.00500076, -2.95, 0.98500078)
      - L (-2.95, 0.98500078, -3.05, 0.96500080)
      - L (-3.05, 0.96500080, -3.15, 0.94500082)
      - L (-3.15, 0.94500082, -3.25, 0.92500084)
      - L (-3.25, 0.92500084, -3.35, 0.90500086)
      - L (-3.35, 0.90500086, -3.45, 0.88500088)
      - L (-3.45, 0.88500088, -3.55, 0.86500090)
      - L (-3.55, 0.86500090, -3.65, 0.84500092)
      - L (-3.65, 0.84500092, -3.75, 0.82500094)
      - L (-3.75, 0.82500094, -3.85, 0.80500096)
      - L (-3.85, 0.80500096, -3.95, 0.78500098)
      - L (-3.95, 0.78500098, -4.05, 0.76500100)
      - L (-4.05, 0.76500100, -4.15, 0.74500102)
      - L (-4.15, 0.74500102, -4.25, 0.72500104)
      - L (-4.25, 0.72500104, -4.35, 0.70500106)
      - L (-4.35, 0.70500106, -4.45, 0.68500108)
      - L (-4.45, 0.68500108, -4.55, 0.66500110)
      - L (-4.55, 0.66500110, -4.65, 0.64500112)
      - L (-4.65, 0.64500112, -4.75, 0.62500114)
      - L (-4.75, 0.62500114, -4.85, 0.60500116)
      - L (-4.85, 0.60500116, -4.95, 0.58500118)
      - L (-4.95, 0.58500118, -5.05, 0.56500120)
      - L (-5.05, 0.56500120, -5.15, 0.54500122)
      - L (-5.15, 0.54500122, -5.25, 0.52500124)
      - L (-5.25, 0.52500124, -5.35, 0.50500126)
      - L (-5.35, 0.50500126, -5.45, 0.48500128)
      - L (-5.45, 0.48500128, -5.55, 0.46500130)
      - L (-5.55, 0.46500130, -5.65, 0.44500132)
      - L (-5.65, 0.44500132, -5.75, 0.42500134)
      - L (-5.75, 0.42500134, -5.85, 0.40500136)
      - L (-5.85, 0.40500136, -5.95, 0.38500138)
      - L (-5.95, 0.38500138, -6.05, 0.36500140)
      - L (-6.05, 0.36500140, -6.15, 0.34500142)
      - L (-6.15, 0.34500142, -6.25, 0.32500144)
      - L (-6.25, 0.32500144, -6.35, 0.30500146)
      - L (-6.35, 0.30500146, -6.45, 0.28500148)
      - L (-6.45, 0.28500148, -6.55, 0.26500150)
      - L (-6.55, 0.26500150, -6.65, 0.24500152)
      - L (-6.65, 0.24500152, -6.75, 0.22500154)
      - L (-6.75, 0.22500154, -6.85, 0.20500156)
      - L (-6.85, 0.20500156, -6.95, 0.18500158)
      - L (-6.95, 0.18500158, -7.05, 0.16500160)
      - L (-7.05, 0.16500160, -7.15, 0.14500162)
      - L (-7.15, 0.14500162, -7.25, 0.12500164)
      - L (-7.25, 0.12500164, -7.35, 0.10500166)
      - L (-7.35, 0.10500166, -7.45, 0.08500168)
      - L (-7.45, 0.08500168, -7.55, 0.06500170)
      - L (-7.55, 0.06500170, -7.65, 0.04500172)
      - L (-7.65, 0.04500172, -7.75, 0.02500174)
      - L (-7.75, 0.02500174, -7.85, 0.00500176)
      - L (-7.85, 0.00500176, -7.95, -0.01500178)
      - L (-7.95, -0.01500178, -8.05, -0.03500180)
      - L (-8.05, -0.03500180, -8.15, -0.05500182)
      - L (-8.15, -0.05500182, -8.25, -0.07500184)
      - L (-8.25, -0.07500184, -8.35, -0.09500186)
      - L (-8.35, -0.09500186, -8.45, -0.11500188)
      - L (-8.45, -0.11500188, -8.55, -0.13500190)
      - L (-8.55, -0.13500190, -8.65, -0.15500192)
      - L (-8.65, -0.15500192, -8.75, -0.17500194)
      - L (-8.75, -0.17500194, -8.85, -0.19500196)
      - L (-8.85, -0.19500196, -8.95, -0.21500198)
      - L (-8.95, -0.21500198, -9.05, -0.23500100)
      - L (-9.05, -0.23500100, -9.15, -0.25500102)
      - L (-9.15, -0.25500102, -9.25, -0.27500104)
      - L (-9.25, -0.27500104, -9.35, -0.29500106)
      - L (-9.35, -0.29500106, -9.45, -0.31500108)
      - L (-9.45, -0.31500108, -9.55, -0.33500110)
      - L (-9.55, -0.33500110, -9.65, -0.35500112)
      - L (-9.65, -0.35500112, -9.75, -0.37500114)
      - L (-9.75, -0.37500114, -9.85, -0.39500116)
      - L (-9.85, -0.39500116, -9.95, -0.41500118)
      - L (-9.95, -0.41500118, -10.05, -0.43500120)
      - L (-10.05, -0.43500120, -10.15, -0.45500122)
      - L (-10.15, -0.45500122, -10.25, -0.47500124)
      - L (-10.25, -0.47500124, -10.35, -0.49500126)
      - L (-10.35, -0.49500126, -10.45, -0.51500128)
      - L (-10.45, -0.51500128, -10.55, -0.53500130)
      - L (-10.55, -0.53500130, -10.65, -0.55500132)
      - L (-10.65, -0.55500132, -10.75, -0.57500134)
      - L (-10.75, -0.57500134, -10.85, -0.59500136)
      - L (-10.85, -0.59500136, -10.95, -0.61500138)
      - L (-10.95, -0.61500138, -11.05, -0.63500140)
      - L (-11.05, -0.63500140, -11.15, -0.65500142)
      - L (-11.15, -0.65500142, -11.25, -0.67500144)
      - L (-11.25, -0.67500144, -11.35, -0.69500146)
      - L (-11.35, -0.69500146, -11.45, -0.71500148)
      - L (-11.45, -0.71500148, -11.55, -0.73500150)
      - L (-11.55, -0.73500150, -11.65, -0.75500152)
      - L (-11.65, -0.75500152, -11.75, -0.77500154)
      - L (-11.75, -0.77500154, -11.85, -0.79500156)
      - L (-11.85, -0.79500156, -11.95, -0.81500158)
      - L (-11.95, -0.81500158, -12.05, -0.83500160)
      - L (-12.05, -0.83500160, -12.15, -0.85500162)
      - L (-12.15, -0.85500162, -12.25, -0.87500164)
      - L (-12.25, -0.87500164, -12.35, -0.89500166)
      - L (-12.35, -0.89500166, -12.45, -0.91500168)
      - L (-12.45, -0.91500168, -12.55, -0.93500170)
      - L (-12.55, -0.93500170, -12.65, -0.95500172)
      - L (-12.65, -0.95500172, -12.75, -0.97500174)
      - L (-12.75, -0.97500174, -12.85, -0.99500176)
      - L (-12.85, -0.99500176, -12.95, -1.01500178)
      - L (-12.95, -1.01500178, -13.05, -1.03500180)
      - L (-13.05, -1.03500180, -13.15, -1.05500182)
      - L (-13.15, -1.05500182, -13.25, -1.07500184)
      - L (-13.25, -1.07500184, -13.35, -1.09500186)
      - L (-13.35, -1.09500186, -13.45, -1.11500188)
      - L (-13.45, -1.11500188, -13.55, -1.13500190)
      - L (-13.55, -1.13500190, -13.65, -1.15500192)
      - L (-13.65, -1.15500192, -13.75, -1.17500194)
      - L (-13.75, -1.17500194, -13.85, -1.19500196)
      - L (-13.85, -1.19500196, -13.95, -1.21500198)
      - L (-13.95, -1.21500198, -14.05, -1.23500100)
      - L (-14.05, -1.23500100, -14.15, -1.25500102)
      - L (-14.15, -1.25500102, -14.25, -1.27500104)
      - L (-14.25, -1.27500104, -14.35, -1.29500106)
      - L (-14.35, -1.29500106, -14.45, -1.31500108)
      - L (-14.45, -1.31500108, -14.55, -1.33500110)
      - L (-14.55, -1.33500110, -14.65, -1.35500112)
      - L (-14.65, -1.35500112, -14.75, -1.37500114)
      - L (-14.75, -1.37500114, -14.85, -1.39500116)
      - L (-14.85, -1.39500116, -14.95, -1.41500118)
      - L (-14.95, -1.41500118, -15.05, -1.43500120)
      - L (-15.05, -1.43500120, -15.15, -1.45500122)
      - L (-15.15, -1.45500122, -15.25, -1.47500124)
      - L (-15.25, -1.47500124, -15.35, -1.49500126)
      - L (-15.35, -1.49500126, -15.45, -1.51500128)
      - L (-15.45, -1.51500128, -15.55, -1.53500130)
      - L (-15.55, -1.53500130, -15.65, -1.55500132)
      - L (-15.65, -1.55500132, -15.75, -1.57500134)
      - L (-15.75, -1.57500134, -15.85, -1.59500136)
      - L (-15.85, -1.59500136, -15.95, -1.61500138)
      - L (-15.95, -1.61500138, -16.05, -1.63500140)
      - L (-16.05, -1.63500140, -16.15, -1.65500142)
      - L (-16.15, -1.65500142, -16.25, -1.67500144)
      - L (-16.25, -1.67500144, -16.35, -1.69500146)
      - L (-16.35, -1.69500146, -16.45, -1.71500148)
      - L (-16.45, -1.71500148, -16.55, -1.73500150)
      - L (-16.55, -1.73500150, -16.65, -1.75500152)
      - L (-16.65, -1.75500152, -16.75, -1.77500154)
      - L (-16.75, -1.77500154, -16.85, -1.79500156)
      - L (-16.85, -1.79500156, -16.95, -1.81500158)
      - L (-16.95, -1.81500158, -17.05, -1.83500160)
      - L (-17.05, -1.83500160, -17.15, -1.85500162)
      - L (-17.15, -1.85500162, -17.25, -1.87500164)
      - L (-17.25, -1.87500164, -17.35, -1.89500166)
      - L (-17.35, -1.89500166, -17.45, -1.91500168)
      - L (-17.45, -1.91500168, -17.55, -1.93500170)
      - L (-17.55, -1.93500170, -17.65, -1.95500172)
      - L (-17.65, -1.95500172, -17.75, -1.97500174)
      - L (-17.75, -1.97500174, -17.85, -1.99500176)
      - L (-17.85, -1.99500176, -17.95, -2.01500178)
      - L (-17.95, -2.01500178, -18.05, -2.03500180)
