S (1)
  - P (1)
    - O (true)
      - C (-13.55, -15.75, 1.15000001)
  - T (0, 0, 0, 0, 0, -1, 0, 1, 0, 1, 0, 0)
E (1, 1, New, One, 10, 0)
S (2)
  - P (2)
    - O (true)
      - L (-14.22500222, 7.25, -16.55000174, 6.75000444)
      - L (-11.52500221, 8.45000383, -14.22500222, 7.25)
      - L (-9.65000545, 9.20000637, -11.52500221, 8.45000383)
      - L (-20.35000484, 19.25000723, -9.65000545, 9.20000637)
      - L (-17.50000886, 18.90000941, -20.35000484, 19.25000723)
      - L (-24.60001195, 29.85001059, -17.50000886, 18.90000941)
      - L (-26.10001306, 30.40001272, -24.60001195, 29.85001059)
      - L (-32.70001465, 31.80001566, -26.10001306, 30.40001272)
      - L (-34.30001636, 33.05001728, -32.70001465, 31.80001566)
      - L (-42.35, 43.05, -34.30001636, 33.05001728)
      - L (-38.27500361, 49.95003081, -42.35, 43.05)
      - L (-40.97500558, 51.20003656, -38.27500361, 49.95003081)
      - L (-48.72501802, 60.80004098, -40.97500558, 51.20003656)
      - L (-47.47501952, 62.40004173, -48.72501802, 60.80004098)
      - L (-46.32502082, 63.90004308, -47.47501952, 62.40004173)
      - L (-39.17502354, 76.70004471, -46.32502082, 63.90004308)
      - L (-27.42502609, 77.20004593, -39.17502354, 76.70004471)
      - L (-19.92502764, 79.30004699, -27.42502609, 77.20004593)
      - L (-13.37502885, 80.70004797, -19.92502764, 79.30004699)
      - L (-14.22500222, 7.25, -13.37502885, 80.70004797)
  - T (0, 0, 0, 0, 0, 1, 0, -1, 0, 1, 0, 0)
E (2, 2, Join, Two, 2.3, 0)
