S (1)
  - P (1)
    - O (true)
      - L (-1.87500001, -6.25000004, 1.87500001, -6.25000004)
      - L (1.87500001, -7.50000005, 1.87500001, -6.25000004)
      - L (1.12500002, -8.75000006, 1.87500001, -7.50000005)
      - L (1.12500002, -9.37500007, 1.12500002, -8.75000006)
      - L (-1.18749999, -10.93799998, 1.12500002, -9.37500007)
      - L (-1.43799997, -11.68799994, -1.18749999, -10.93799998)
      - L (-1.81250000, -12.31299992, -1.43799997, -11.68799994)
      - L (-1.78124996, -13.06250004, -1.81250000, -12.31299992)
      - L (-1.70374995, -14.09375009, -1.78124996, -13.06250004)
      - L (-1.63764993, -15.09039016, -1.70374995, -14.09375009)
      - L (-1.57154991, -16.09739119, -1.63764993, -15.09039016)
      - L (-1.50444988, -17.12169182, -1.57154991, -16.09739119)
      - L (-1.43634985, -18.15599283, -1.50444988, -17.12169182)
      - L (-1.36894984, -20.19539286, -1.43634985, -18.15599283)
      - L (-1.30084981, -22.23589277, -1.36894984, -20.19539286)
      - L (-1.23274978, -24.27659274, -1.30084981, -22.23589277)
      - L (-1.16465075, -26.31729265, -1.23274978, -24.27659274)
      - L (-1.09655072, -28.35779257, -1.16465075, -26.31729265)
      - L (-1.02745069, -30.39791249, -1.09655072, -28.35779257)
      - L (-0.95735066, -32.43813242, -1.02745069, -30.39791249)
      - L (-0.88625063, -34.47835235, -0.95735066, -32.43813242)
      - L (-0.81485059, -36.51857227, -0.88625063, -34.47835235)
      - L (-0.74295055, -38.55809189, -0.81485059, -36.51857227)
      - L (-0.67015052, -40.59761153, -0.74295055, -38.55809189)
      - L (-0.59690048, -43.63613108, -0.67015052, -40.59761153)
      - L (-0.52105044, -46.67447076, -0.59690048, -43.63613108)
      - L (-0.44360041, -50.01111058, -0.52105044, -46.67447076)
      - L (-0.36520037, -54.24779039, -0.44360041, -50.01111058)
      - L (-0.28680033, -60.09446999, -0.36520037, -54.24779039)
      - L (-0.20740029, -67.07509979, -0.28680033, -60.09446999)
      - L (-0.12770023, -74.95572964, -0.20740029, -67.07509979)
      - L (0, -80.88531973), 
        -O (true)
          - L (-0.14279987, -100.75561971, 0, -80.88531973)
