S (1)
  - P (1)
    - O (true)
      - C (-0.65, -0.85, 0.35)
  - T (0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1)
E (1, 1, New, One, 10, 0)
S (2)
  - P (2)
    - O (true)
      - L (-20.80000005, 30.40000495, -21.20000004, 31.70000217)
      - L (-21.20000004, 32.30000173, -23.60000333, 29.90000663)
      - L (-24.10000528, 27.50000714, -25.8, 26.9)
      - L (-22.6, 15.99999507, -24.10000528, 27.50000714)
      - L (-19.7, 16.69999493, -22.6, 15.99999507)
      - L (-18.3, 34.09999602, -19.7, 16.69999493)
      - L (-18.8, 36.39999391, -18.3, 34.09999602)
      - L (-13.19999201, 37.29999181, -12.79999738, 39.89999857)
      - L (-11.59998453, 43.49999045, -13.19999201, 37.29999181)
      - L (-8.2, 46.99, -11.59998453, 43.49999045)
      - L (-5.5, 50.39899986, -8.2, 46.99)
      - L (-5.1, 51.79898874, -5.5, 50.39899986)
      - L (-4.6, 52.49898754, -5.1, 51.79898874)
      - L (-4.15001469, 55.19898375, -4.6, 52.49898754)
      - L (-3.75001061, 58.19998084, -4.15001469, 55.19898375)
      - L (-2.55001271, 60.59897992, -3.75001061, 58.19998084)
      - L (-2.35001178, 62.29898108, -2.55001271, 60.59897992)
      - L (-2.14997368, 64.09898276, -2.35001178, 62.29898108)
      - L (-2.95002188, 66.19998559, -2.14997368, 64.09898276)
      - L (-2.85002487, 67.98, -2.95002188, 66.19998559)
      - L (-3.25002306, 70.78998941, -2.85002487, 67.98)
      - L (-3.13003147, 72.69899142, -3.25002306, 70.78998941)
      - L (-3.1, 77.29999156, -3.13003147, 72.69899142)
      - L (-2.6, 80.29998649, -3.1, 77.29999156)
      - L (-1.6, 83.99997489, -2.6, 80.29998649)
      - L (-0.8, 86.89897797, -1.6, 83.99987479)
      - L (-0.2, 90, -0.8, 86.89897694)
      - L (0, 91.80002548, -0.2, 90)
      - L (1.5, 82.39996344, 0, 91.80002548)
      - L (0, 81.19997896, 1.5, 82.39996344)
      - L (0.3, 80.19995554, 0, 81.19997896)
      - L (0.1, 78.19995486, 0.3, 80.19995554)
      - L (0.2, 76.19995379, 0.1, 78
