S (1)
  - P (1)
    - O (true)
      - L (-20.00000491, 173.51666964, -19.99999538, 171.16666569)
      - A (-19.99896514, 169.83266687, -19.99700506, 170.16767228, -21.99698542, 165.43266417, -0.00898651, 0.99401796, 30.02795535, 0, 9.85711132)
      - L (-18.49900395, 168.81666707, -16.50000294, 170.00166666)
      - L (-25.04999377, 178.01666815, -24.49899111, 176.50166262)
      - L (-26.39999022, 175.61667001, -27.09998875, 177.11666143)
      - L (-23.10000761, 174.41667598, -23.30000678, 172.21667704)
      - L (-29.20001154, 184.71667402, -25.60001059, 183.31667641)
      - L (-31.40001257, 182.91567108, -34.90001309, 180.71567371)
      - L (-33.70001455, 181.51567837, -36.19998339, 179.31568081)
      - L (-35.80001592, 179.61568276, -40.29998993, 177.21568447)
      - L (-44.69998779, 190.11567963, -45.89998485, 189.81568183)
      - L (-46.59997874, 188.41568367, -48.19997913, 186.71568565)
      - L (-50.79997786, 185.81568753, -52.49997488, 184.31568905)
      - L (-56.99997649, 184.71568858, -60.49997389, 183.41569012)
      - L (-68.39997297, 193.91568672, -69.89997184, 192.81568873)
      - L (-71.99997099, 191.51769482, -75.49996944, 189.2176968)
      - L (-80.19996899, 187.81769733, -81.9999673, 186.71769895)
      - L (-90.50096651, 194.31769519, -91.50096494, 194.1176939)
      - L (-103.09996393, 197.91769263, -104.99996209, 196.71769415)
      - L (-110.19996191, 195.61769138, -112.99995996, 194.4176933)
      - L (-120.40095872, 193.91769084, -123.09995721, 192.51769323)
      - L (-128.19995489, 191.31768867, -130.89995319, 190.21769035)
      - L (-135.29995175, 188.81768701, -137.09994897, 187.51768893)
      - L (-142.69994944, 185.81768611, -144.49994772, 184.41768783)
      - L (-149.99994696, 182.81768462, -151.49994537, 181.41768631)
      - L (-155.19994396, 179.81768187, -157.09994158, 178.41768269)
      - L (-161.50094062, 176.81767808, -163.19993822, 175.41768017)
      - L (-164.09993705, 173.81767525, -165.89993498, 172.41767677)
      - L (-162.39993517, 171.81767303, -160.19993279, 170.41767542)
      - L (-159.19993151, 168.81767032, -158.99992938, 167.41767174)
      - L (-154.39992898, 166.81766667, -153.19992675, 165.417267)
