S (1)
  - P (1)
    - O (true)
      - L (-17.762, 7.96250001, -12.762, 9.86200002)
      - L (-19.782, 8.38200004, -18.482, 10.98200005)
      - L (-20.682, 11.46200206, -21.082, 13.06200507)
      - L (-23.802, 15.56200609, -24.402, 16.66200714)
      - L (-26.902, 19.16200811, -27.502, 20.36200922)
      - L (-29.602, 25.26201034, -30.302, 26.37201148)
      - L (-31.702, 28.12201264, -32.392, 29.22201391)
      - L (-33.802, 31.94201499, -36.412, 32.54201593)
      - L (-37.102, 39.32201711, -38.842, 40.42201843)
      - L (-42.282, 45.72201951, -41.882, 46.82202062)
      - L (-44.182, 50.92202169, -49.582, 52.02202283)
      - L (-53.282, 54.52202397, -55.982, 57.62202513)
      - L (-61.82, 60.81202625, -63.592, 59.91202747)
      - L (-66.692, 58.21202859, -67.492, 57.31202981)
      - L (-70.782, 55.51203085, -71.582, 54.61203194)
      - L (-74.992, 52.71203307, -75.792, 51.81203428)
      - L (-79.192, 49.71203529, -80.092, 48.81203652)
      - L (-84.292, 46.11203765, -85.192, 45.21203887)
      - L (-90.692, 43.21204001, -92.572, 41.81204133)
      - L (-98.892, 39.21204215, -100.772, 37.21204339)
      - L (-104.092, 34.21204449, -106.972, 32.81204573)
      - L (-111.692, 29.21204677, -113.572, 27.81204795)
      - L (-118.792, 23.21204901, -120.672, 21.21205033)
      - L (-125.592, 16.21205119, -127.472, 14.21205243)
      - L (-132.192, 8.21205335, -134.072, 6.21205468)
      - L (-138.692, 0.21205581, -140.572, -0.21205686)
  - T (0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 1, 0)
E (1, 1, New, One, 35.56, 0)
