S (1)
  - P (1)
    - O (true)
      - C (-15, 10, 20)
  - T (0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 1, 0)
E (1, 1, New, One, 1, 0)
S (2)
  - P (2)
    - O (true)
      - L (-25, -13, -28.33333333, -6.66666707)
      - L (-27.99999822, -11.00000179, -26.66666597, -14.00000208)
      - L (-29.99750184, -9.16667083, -23.49950012, -16.26666999)
      - L (-24.16667296, -8.43333102, -21.49850298, -17.20000391)
      - L (-19.09970035, -7.80003457, -18.06675004, -12.93302977)
      - L (-19.39969885, -10.86667601, -18.29970786, -13.46668875)
      - L (-20.40069987, -12.96667571, -18.59970159, -15.60001366)
      - L (-30.30069782, -8.10003358, -20.89999632, -14.90001193)
      - L (-31.23333245, -10.73332795, -30.83332439, -13.98332965)
      - L (-34.36664841, -9.13333405, -31.23633564, -12.11666806)
      - L (-37.08367146, -7.63333667, -34.78367347, -11.61606763)
      - L (-38.68368169, -10.56667461, -36.38367976, -13.76666753)
      - L (-42.39870209, -9.51667872, -38.59870551, -12.91668049)
      - L (-44.23472592, -11.53333081, -43.18472289, -15.01666955)
      - L (-50.19971254, -8.31633762, -44.79971356, -12.41632873)
      - L (-52.21671674, -11.28333194, -50.98671448, -14.81633888)
      - L (-60.99373468, -8.85066878, -52.29373604, -12.76068209)
      - L (-61.99572822, -12.48332659, -60.89372622, -16.18333457)
      - L (-70.19573193, -9.95067707, -61.89573079, -13.88332966)
      - L (-71.29572090, -13.35033380, -70.79572951, -16.88333000)
      - L (-73.19871501, -14.96734981, -71.49571885, -18.86734222)
      - L (-75.09874491, -16.45033269, -73.29873841, -20.16733959)
      - L (-76.79874617, -17.81334411, -75.69874551, -21.61734663)
      - L (-78.89875521, -18.84633511, -76.99875458, -22.71734721)
      - L (-80.80876463, -20.23034061, -78.20876555, -23.91734191)
      - L (-81.99477371, -21.65033055, -80.89477273, -25.51734327)
      - L (-83.88678259, -22.86333389, -81.97678179, -27.81734529)
      - L (-85.77779185, -24.24633651, -83.77679404, -29.31735101)
      - L (-87.76880169, -25.11333759, -85.86880206, -28.95334821)
      - L (-89.75981113, -25.95663496, -87.85981071, -30.94363815)
