S (1)
  - P (1)
    - O (true)
      - L (-0.4775, 0.47750001, -0.48000002, -0.48249999)
      - L (-0.48799998, -0.48499997, -0.48500005, -0.48399993)
      - L (-0.47999892, -0.48100107, -0.48624989, -0.47509991)
      - L (-0.48875011, -0.47629909, -0.49025006, -0.47489986)
      - L (-0.47895016, -0.46959983, -0.49204988, -0.46310085)
      - L (-0.49479976, -0.46580004, -0.49539994, -0.46240008)
      - L (-0.49674984, -0.46419982, -0.49360069, -0.46130074)
      - L (0.49115065, -0.45720018, -0.48945096, -0.45270019)
      - L (0.50465066, -0.45569995, -0.49755051, -0.45190015)
      - L (0.51535056, -0.45439981, -0.49854973, -0.44990023)
      - L (0.52185055, -0.4530997, -0.50105053, -0.44620024)
      - L (0.52325054, -0.45909977, -0.50634971, -0.44380143)
      - L (0.52645049, -0.46070075, -0.50964957, -0.44240135)
      - L (0.52514948, -0.46840014, -0.51094945, -0.44730113)
      - L (0.51784947, -0.4712998, -0.51354946, -0.44520117)
      - L (0.51203942, -0.47320038, -0.51434939, -0.44460122)
      - L (0.50333941, -0.47270029, -0.51634928, -0.44170121)
      - L (0.51143934, -0.47270026, -0.51934925, -0.44090114)
      - L (0.52093931, -0.47039967, -0.52232922, -0.43870087)
      - L (0.52463932, -0.46700001, -0.52492921, -0.43539972)
      - L (0.52953933, -0.46670009, -0.52762912, -0.43269979)
      - L (0.52813937, -0.47130059, -0.53022910, -0.42819978)
      - L (0.51873936, -0.47130058, -0.53242900, -0.42470008)
      - L (0.50823940, -0.47070068, -0.53462890, -0.42110118)
      - L (0.50283944, -0.47070062, -0.53682880, -0.41740220)
      - L (0.50582943, -0.47130064, -0.53872870, -0.41480230)
      - L (0.50701947, -0.47170063, -0.54022850, -0.41230209)
      - L (0.50930952, -0.47230061, -0.54192860, -0.41060212)
      - L (0.51060954, -0.47270063, -0.54302850, -0.40890212)
      - L (0.51190963, -0.47330058, -0.54412840, -0.40720315)
      - L (0.51320974, -0.47340055, -0.54532830, -0.40640599)
      - L (0.51440975, -0.47370058, -0.54657822, -0.40560800)
      - L (0.51480989, -0.47420058,
