S (1)
  - P (1)
    - O (true)
      - L (-0.15875, 8.35925, -6.3125, 9.09999998)
      - A (-0.15875, 8.35925, -0.15875, 11.10999999, 0, 10.59999998, -1, 0, 1.24999997, 0, 0.78539816)
      - L (-6.3125, 11.10999999, -6.3125, 12.69999996)
      - L (-6.3125, 12.69999996, -7.64000001, 13.19999995)
      - L (-7.64000001, 13.19999995, -6.03125002, 14.79999994)
      - L (-6.03125002, 14.79999994, -6.03125002, 15.29999993)
      - L (-6.03125002, 15.29999993, -0.15875004, 17.10999991)
      - L (-0.15875004, 17.10999991, 0.15874998, 18.60999992)
      - A (0.15874998, 18.60999992, -0.15949986, 19.20999989, 0, 20.60000166, 0, -1, 1.24999983, 0, 0.78539585)
      - L (0.15874998, 19.20999989, 0.15874998, 21.11000163)
      - L (0.15874998, 21.11000163, -0.15875, 23.11999992)
  - T (0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1)
E (1, 1, New, One, 5.08, 0)
S (2)
  - P (2)
    - O (true)
      - A (3.82350009, 8.06000007, 3.82154987, 8.16000006, 3.82250005, 8.05999988, -0.00500271, 0.99899538, 0.49500379, 0, 0.28505142)
      - L (3.82350009, 8.06000007, 3.82350009, 9.10000068)
      - L (3.82350009, 9.10000068, 3.82054987, 9.20000064)
      - L (3.82054987, 9.20000064, 3.84000009, 9.20000064)
      - L (3.84000009, 9.20000064, 3.84165056, 9.21000055)
      - L (3.84165056, 9.21000055, 3.84330051, 9.21999946)
      - L (3.84330051, 9.21999946, 3.84500004, 9.22000045)
      - L (3.84500004, 9.22000045, 3.84664981, 9.23000044)
      - L (3.84664981, 9.23000044, 3.84829869, 9.23999943)
      - L (3.84829869, 9.23999943, 3.85094934, 9.24000041)
      - L (3.85094934, 9.24000041, 3.85259874, 9.26000048)
      - L (3.85259874, 9.26000048, 3.85324859, 9.27999947)
      - L (3.85324859, 9.27999947, 3.85489829, 9.29000049)
      - L (3.85489829, 9.29000049, 3.85654758, 9.30100046)
      - L (3.95670001, 9.20100032, 3.95380004, 9.19999733)
      - L (3.95540001, 9.20799772, 3.95890003, 9.20599777)
      - L (3.95700001, 9.21500773, 3.95950001, 9.21300776)
      - L (3.95470001, 9.20300772, 3.96580004, 9.21499967)
      - L (3.95100001, 9.21199965, 3.96250001, 9.21299952)
      - L (3.95200001, 9.21899953, 3.96050001, 9.22100035)
      - L (3.96300001, 9.22299937, 3.96450001, 9.23399928)
      - L (3.96600001, 9.23299936, 3.96750001, 9.24599926)
      - L (3.96900001, 9.24199935, 3.97090001, 9.24799924)
      - L (3.97300001, 9.25499939, 3.97600001, 9.25999935)
      - L (3.97700001, 9.26199940, 3.97950000, 9.26999930)
      - L (3.98100001, 9.27099938, 3.98250000, 9.28299922)
