S (1)
  - P (1)
    - O (true)
      - L (-7.76250005, 61.23000002, 0.76349995, 61.23000002)
      - A (-8.30500006, 62.20000001, -6.23500004, 60.30000008, -8.30500006, 63.10000009, -0.01525877, -0.99998144, 2.90000516, 0, 1.57079633)
      - L (-8.30500006, 64.40000007, -8.30500006, 62.20000001)
      - A (-11.20500003, 59.22000006, -10.42500014, 58.42000017, -12.80500019, 57.52000013, 0.02041987, -0.99868047, 6.60000493, 0, 3.14159265)
      - L (-7.76250005, 61.23000002, -11.20500003, 59.22000006)
      - A (-7.76250005, 59.92000004, -7.78250005, 61.08000003, -7.77500001, 61.16000008, -0.00144086, 0.99997094, 2.80000275, 0, 1.04719755)
      - L (-7.78250005, 61.08000003, -7.78250005, 59.92000004)
      - A (-11.20500003, 58.42000017, -7.78250005, 59.92000004, -12.80500019, 57.52000013, 0.01243976, 0.99784843, 6.60000493, 0, 3.14159265)
      - L (-11.20500003, 59.22000006, -11.20500003, 58.42000017)
      - A (-10.42500014, 58.42000017, -11.10500015, 56.32000018, -10.42500014, 58.42000017, 0.01134066, -0.99965934, 2.70000335, 0, 1.41379597)
      - L (-10.42500014, 58.42000017, -11.20500003, 59.22000006)
  - P (2)
    - O (true)
      - L (3.81000025, 67.43000027, 3.82000026, 68.24000029)
      - L (3.82000026, 68.24000029, 3.83000028, 69.04000031)
      - L (3.83000028, 69.04000031, 3.82500023, 70.14000032)
      - L (3.78000024, 71.18000021, 3.82500023, 70.14000032)
      - L (3.73000022, 72.36000039, 3.78000024, 71.18000021)
      - L (3.76000024, 73.64000048, 3.73000022, 72.36000039)
      - L (3.78500037, 74.86000054, 3.76000024, 73.64000048)
      - L (3.81500038, 76.38000051, 3.78500037, 74.86000054)
      - L (3.84000049, 78.26000053, 3.81500038, 76.38000051)
      - L (3.83500041, 80.12000045, 3.84000049, 78.26000053)
      - L (3.79000036, 82.48000052, 3.83500041, 80.12000045)
      - L (3.75500038, 84.88000063, 3.79000036, 82.48000052)
      - L (3.77000040, 88.49000083, 3.75500038, 84.88000063)
      - L (3.79200049, 90.25000091, 3.77000040, 88.49000083)
      - L (3.82400050, 92.28000098, 3.79200049, 90.25000091)
      - L (3.85000053, 94.96000004, 3.82400050, 92.28000098)
      - L (3.87000058, 96.72000012, 3.85000053, 94.96000004)
      - L (3.89500061, 99.01000013, 3.87000058, 96.72000012)
      - L (3.91500062, 101.56000015, 3.89500061, 99.01000013)
      - L (3.94000065, 104.03000016, 3.91500062, 101.56000015)
      - L (3.95500068, 106.62000018, 3.94000065, 104.03000016)
      - L (3.96500070, 109.31000020, 3.95500068, 106.62000018)
      - L (3.99000074, 112.13000022, 3.96500070, 109.31000020)
      - L (4.01700079, 114.95000024, 3.99000074, 112.13000022)
      - L (4.04500085, 117.93000026, 4.01700079, 114.95000024)
      - L (4.07500089, 121.35000030, 4.04500085, 117.93000026)
      - L (4.10700092, 125.07000033, 4.07500089, 121.35000030)
      - L (4.13900097, 129.11000037, 4.10700092, 125.07000033)
      - L (4.17300098, 133.27000040, 4.13900097, 129.11000037)
      - L (4.20700099, 137.59000043, 4.17300098, 133.27000040)
      - L (4.24300000, 142.06000045, 4.20700099, 137.59000043)
      - L (4.27900001, 146.67000048, 4.24300000, 142.06000045)
      - L (4.31700002, 151.41000050, 4.27900001, 146.67000048)
      - L (4.35700003, 156.29000053, 4.31700002, 151.41000050)
      - L (4.39800004, 161.33000056, 4.35700003, 156.29000053)
      - L (4.44100005, 167.05000059, 4.39800004, 161.33000056)
      - L (4.48500006, 172.61000062, 4.44100005, 167.05000059)
      - L (4.53100007, 178.09000065, 4.48500006, 172.61000062)
      - L (4.57900008, 184.21000068, 4.53100007, 178.09000065)
      - L (4.62900009, 190.98000071, 4.57900008, 184.21000068)
      - L (4.67900010, 198.51000073, 4.62900009, 190.98000071)
      - L (4.73100011, 206.39000076, 4.67900010, 198.51000073)
      - L (4.78400012, 214.66000078, 4.73100011, 206.39000076)
      - L (4.83800013, 223.45000080, 4.78400012, 214.66000078)
      - L (4.89300014, 232.55000083, 4.83800013, 223.45000080)
      - L (4.94900015, 242.15000085, 4.89300014, 232.55000083)
      - L (5.00700016, 251.12000088, 4.94900015, 242.15000085)
      - L (5.06700017, 26054000091, 5.00700016, 251.12000088)
      - L (5.12800018, 27117000094, 5.06700017, 26054000091)
      - L (5.18900019, 28204000096, 5.12800018, 27117000094)
      - L (5.25200020, 29289000098, 5.18900019, 28204000096)
      - L (5.31600021, 30471000099, 5.25200020, 29289000098)
      - L (5.38100022, 31753000101, 5.31600021, 30471000099)
      - L (5.44700023, 33137000004, 5.38100022, 31753000101)
      - L (5.51400024, 34547000006, 5.44700023, 33137000004)
      - L (5.58100025, 35991000008, 5.51400024, 34547000006)
      - L (5.65000026, 37475000010, 5.58100025, 35991000008)
      - L (5.71900027, 38969000012, 5.65000026, 37475000010)
      - L (5.78900028, 40474000014, 5.71900027, 38969000012)
      - L (5.85900029, 42019000016, 5.78900028, 40474000014)
      - L (5.92900030, 43679000018, 5.85900029, 42019000016)
      - L (5.99100031, 45363000020, 5.92900030, 43679000018)
      - L (6.05400032, 47101000022, 5.99100031, 45363000020)
      - L (6.11800033, 48919000024, 6.05400032, 47101000022)
      - L (6.18300034, 50767000026, 6.11800033, 48919000024)
      - L (6.24900035, 52744000028, 6.18300034, 50767000026)
      - L (6.31500036, 54746000030, 6.24900035, 52744000028)
      - L (6.38200037, 56758000032, 6.31500036, 54746000030)
      - L (6.44900038, 58806000034, 6.38200037, 56758000032)
      - L (6.51700039, 60879000036, 6.44900038, 58806000034)
      - L (6.58600040, 63108000038, 6.51700039, 60879000036)
      - L (6.65500041, 65378000040, 6.58600040, 63108000038)
      - L (6.72500042, 67681000042, 6.65500041, 65378000040)
      - L (6.79700043, 70229000044, 6.72500042, 67681000042)
      - L (6.86900044, 72791000046, 6.79700043, 70229000044)
      - L (6.94200045, 75388000048, 6.86900044, 72791000046)
      - L (7.01600046, 78126000050, 6.94200045, 75388000048)
      - L (7.09200047, 80968000052, 7.01600046, 78126000050)
      - L (7.16900048, 83949000054, 7.09200047, 80968000052)
      - L (7.24700049, 86982000056, 7.16900048, 83949000054)
      - L (7.32600050, 90155000058, 7.24700049, 86982000056)
      - L (7.40600051, 93384000060, 7.32600050, 90155000058)
      - L (7.48800052, 96644000062, 7.40600051, 93384000060)
      - L (7.57100053, 10002000064, 7.48800052, 96644000062)
      - L (7.65600054, 10205000066, 7.57100053, 10002000064)
      - L (7.74300055, 10397400068, 7.65600054, 10205000066)
      - L (7.83300056, 10588000070, 7.74300055, 10397400068)
      - L (7.92500057, 10871000072, 7.83300056, 10588000070)
      - L (8.01800058, 11154500074, 7.92500057, 10871000072)
      - L (8.11300059, 11437500076, 8.01800058, 11154500074)
      - L (8.21100060, 11721000078, 8.11300059, 11437500076)
      - L (8.31100061, 11999500080, 8.21100060, 11721000078)
      - L (8.41200062, 12277500082, 8.31100061, 11999500080)
      - L (8.51500063, 12556000084, 8.41200062, 12277500082)
      - L (8.62100064, 12836000086, 8.51500063, 12556000084)
      - L (8.72900065, 13117500088, 8.62100064, 12836000086)
      - L (8.73900066, 13409500090, 8.72900065, 13117500088)
      - L (8.85100067, 13693500092, 8.73900066, 13409500090)
      - L (8.96400068, 14180000094, 8.85100067, 13693500092)
      - L (9.07900069, 14566500096, 8.96400068, 14180000094)
